,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
0,9780002005883,0002005883,gilead,,Marilynne Robinson,fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,novel reader critic eagerly anticipating decade gilead astonishingly imagined story remarkable life john ames preacher son preacher grandson maternal paternal preacher gilead iowa towards end reverend amess life absorbed recording family story legacy young son never see grow haunted grandfather presence john tell rift grandfather father elder angry visionary fought abolitionist cause son ardent pacifist troubled prodigal namesake jack john ames boughton best friend lost son return gilead searching forgiveness redemption told john amess joyous rambling voice find beauty humour truth smallest life detail gilead song celebration acceptance best worst world offer heart tale sacred bond father son pitchperfect style story set dazzle critic reader alike,2004.0,3.85,247.0,361.0
1,9780002261982,0002261987,spider web,A Novel,Charles Osborne;Agatha Christie,detective mystery story,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,new christie christmas fulllength novel adapted acclaimed play charles osborne following black coffee unexpected guest come final agatha christie play novelisation bringing superb storytelling new legion fan clarissa wife foreign office diplomat given daydreaming supposing come one morning find dead body library mus clarissa chance find discovers body drawingroom house kent desperate dispose body husband come home important foreign politician clarissa persuades three house guest become accessory accomplice seems murdered man unknown certain member house party one search begin murderer motive time trying persuade police inspector murder spider web written specifically margaret lockwood opened first theatre royal nottingham moving savoy theatre london december mousetrap wi,2000.0,3.83,241.0,5164.0
2,9780006163831,0006163831,one tree,,Stephen R. Donaldson,american fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,volume two stephen donaldsons acclaimed second trilogy featuing compelling antihero thomas covenant,1982.0,3.97,479.0,172.0
3,9780006178736,0006178731,rage angel,,Sidney Sheldon,fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,memorable mesmerizing heroine jennifer brilliant beautiful attorney way mafia scheme win hatred implacable enemy love destructive hate dangerous dramatic world dark arena organized crime flashbulb lit courtroom ambitious prosecutor begin climb political power,1993.0,3.93,512.0,29532.0
4,9780006280897,0006280897,four love,,Clive Staples Lewis,christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,lewis work nature love divide love four category affection friendship eros charity first three come naturally humanity charity however giftlove god divine without supernatural love natural love become distorted even dangerous,2002.0,4.15,170.0,33684.0
5,9780006280934,0006280935,problem pain,,Clive Staples Lewis,christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,problem pain c lewis one renowned christian author thinker examines universally applicable question within human condition god good allpowerful allow creature suffer pain signature wealth compassion insight c lewis offer answer crucial question share hope wisdom help heal world hungering true understanding human natureamazon,2002.0,4.09,176.0,37569.0
6,9780006353287,0006353282,autobiography,,Agatha Christie,author english,http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,donation,1977.0,4.27,560.0,3975.0
7,9780006380832,0006380832,empire monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,africa east,http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,vasco da gama discovered searoute east almost nothing known west exotic culture wealth indian ocean people civilization destruction hand west richard hall recreates book hall history exploration exploitation chinese arab traveller portuguese dutch british alike one brutality betrayal colonial ambition,1998.0,4.41,608.0,65.0
8,9780006470229,000647022X,gap madness,Chaos and Order,Stephen R. Donaldson,hyland morn fictitious character,http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,newcover reissue fourth book bestselling fivevolume sf series created worldfamous author thomas covenant chronicle acclaimed best work career event moving amnion intended human false dealing alien planetoid thanatos minor exploded atom trumpet hurtled space one step ahead hostile pursuer board morn hyland forcegrown son davy cyborg angus thermopyle captain nick succorso old enemy thrown together desperate bid survival amnion umcp immediate capture fleeing ship secret contained imperative trumpet exhausted crew hope lay illegal lab distant binary solar system valdor industrial would journey unpredictable danger would return,1994.0,4.15,743.0,103.0
9,9780006472612,0006472613,master game,,Sidney Sheldon,adventure story,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,kate blackwell enigma one powerful woman world ninetieth birthday celebration ghost absent friend absent enemy,1982.0,4.11,489.0,43540.0
10,9780006479673,0006479677,tomorrow come,,Sidney Sheldon,adventure story,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,one sidney sheldons popular bestselling title repackaged reissued new generation fan,1994.0,4.04,501.0,49170.0
11,9780006480099,0006480098,assassin apprentice,,Robin Hobb,american fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fantasyroman,1996.0,4.15,460.0,133972.0
12,9780006482079,0006482074,warhost vastmark,,Janny Wurts,fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,tricked wily halfbrother lysaer lord light arrives tiny harbor town merior find arithons ship yard abandoned meticulously destroyed master shadow disappeared thin air meanwhile arithon mad prophet dakar traveling foot treacherous kelhorn mountain towards vastmark clan raise support cause raising warhost costly business mere coincidence princess talithlysaers beautiful headstrong wifeis taken captive held vast ransom master brigand force light shadow circle feint drawing ever closer huge conflict background fellowship seven sorcerer koriani enchantress watch plan wait,1995.0,4.03,522.0,2966.0
13,9780006483014,0006483011,future king,,Terence Hanbury White,arthurian romance,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,omnibus volume author complete story arthurian epic includes sword stone witch wood illmade knight candle wind published first time book merlyn,1996.0,4.04,823.0,2805.0
14,9780006483892,0006483895,murder lamut,,Raymond E. Feist;Joel Rosenberg,adventure story,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,available u first time second volume exceptional legend riftwar series new york timesbestselling author feist rosenberg,2003.0,3.7,337.0,5083.0
15,9780006483908,0006483909,jimmy hand,,Raymond E. Feist;S. M. Stirling,fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,jimmy hand boy thief krondor lived shadow city though gifted beyond peer jimmy merely pickpocket potentialuntil aid prince arutha rescue princess anita duke guy du bastyra run afoul black guy secret police facing choice disappearing weighted barrel bottom krondors harbor jimmy chooses former forced flee home he ever known jimmy find among unsuspecting rural villager land end hope prosper talent con thievery land end home many tread crooked pathand dark dangerous presence even local smuggler dont recognize suddenly jimmy youthful bravado courage leading maw chaos quite possibly doom,2003.0,3.95,368.0,5579.0
17,9780006490456,000649045X,witness prosecution selected play,,Agatha Christie,english drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,newlyjacketed edition designed celebrate th anniversary christie faultlessly plotted witness prosecution outstanding play perfect complement latest edition mousetrap selected play th aniversary edition headlining book witness prosecution christie highly successful stage play new york drama critic circle award best foreign play stunning courtroom drama tell story scheming wife testifying husband shocking murder trial wild beauty seaside house perched high devonshire river tern provides stunning backdrop towards zero psychopathic murderer home unsuspecting victim passion murder love deadly ingredient verdict making one christie unusual thriller prompting label best play written exception witness prosecution go back murder tell story young feisty carla orphaned tender age five discovers mother imprisioned murdering father determines prove innocence,1995.0,4.05,352.0,3908.0
18,9780006496434,0006496431,little house,,Philippa Gregory,country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,easy elizabeth married man loved harder ruth married elizabeth son found somehow could never quite measure thriller examines woman want fear ruth confronts shifting border sanity,1998.0,3.66,368.0,1832.0
19,9780006496878,0006496873,mystical path,,Susan Howatch,english fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,find nicholas darrow wrestling personal problem marry rosalind unable avoid promiscuity become priest find difficult live one break dangerous dependence father,1996.0,4.23,576.0,1023.0
20,9780006496892,000649689X,glittering image,,Susan Howatch,english fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,charles ashworth canon archbishop canterbury sent untangle web selfdelusion corruption episcopal palace charismatic bishop starbridge,1996.0,4.07,512.0,2045.0
21,9780006496922,000649692X,glamorous power,,Susan Howatch,clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,reissue author famous wellloved work starbridge series six selfcontained yet interconnected novel explore history church england th century,1996.0,4.2,512.0,1441.0
22,9780006498865,0006498868,mad ship,,Robin Hobb,fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fantasy master robin hobb delivers stunning second volume liveship trader trilogy returning timeless city bingtown pirate plague coast dreaded slave trade flourish althea vestrit doesnt time afraid family newly awakened liveship vivacia seized ruthless pirate kennit althea hatch bold plan carry must recruit liveship already slain two crew said insane,2000.0,4.24,906.0,36101.0
23,9780006499169,0006499163,post captain,,Patrick O'Brian,aubrey jack fictitious character,http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,tale begin jack aubrey arriving home exploit mediterranean find england peace following treaty amiens friend stephen maturin surgeon secret agent begin live life country gentleman hunting entertaining enjoying amorous adventure comfortable existence however cut short jack overnight reduced pauper enough debt keep prison life flees continent seek refuge instead find hunted fugitive napoleon ordered internment englishman france aubreys adventure escaping france debtor prison grip reader fast unequalled action sea,1996.0,4.29,474.0,7815.0
24,9780006499268,0006499260,reverse medal,,Patrick O'Brian,adventure story,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,book jack aubrey return duty protecting whaler south american coast persuaded casual acquaintance make investment city strength supposedly certain information led halfworlds london criminal underground government espionage province friend stephen maturin,1997.0,4.41,261.0,177.0
25,9780006499626,0006499627,miss marple,The Complete Short Stories,Agatha Christie,detective mystery story english,http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,miss marple featured short story published number different collection britain america presented order publication miss marple us unique insight deduce truth series unsolved crime,1997.0,4.2,359.0,6235.0
26,9780006511489,0006511481,year rice salt,,Kim Stanley Robinson,black death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,hailed new york time book review eyeopening alternative history last year begin black death kill nearly everyone europe china india nation islam control world,2003.0,3.73,772.0,194.0
27,9780006512677,0006512674,spare,,Michael Marshall Smith,human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,spare human clone ultimate health insurance eye eye people taking story jack randall burntout dropped way overdrawn luck bank caretaker spare farm still choice might make difference,1998.0,4.13,317.0,2481.0
28,9780006513087,0006513085,gravity,,Tess Gerritsen,science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,emma watson research physician training mission lifetime study living organism microgravity space true lethal nature experiment revealed nasa aboard space station thing start go wrong culture singlecelled archaeons gathered deep sea begin rapidly multiply infect crew deadly agonising result estranged husband ground crew nasa work clock launch rescue emma stuggles contain lethal microbe contagion threatening earth population would leave astronaut stranded orbit quarantined aboard station,2004.0,4.04,342.0,8024.0
29,9780006514640,0006514642,wise woman,,Philippa Gregory,great britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,alone vulnerable alys join nunnery attempt escape poverty find thrown back outside world henry viii wrecker destroy sanctuary nothing look magic instinctive cunning alys tread perilous path faith childhood female power fall love hugo feudal lord another woman husband dip witchcraft defeat rival win lover find magic make poor servant dominant master since heresy new church mean stake witchcraft rope alyss danger mortal woman power longer safe use,2002.0,3.31,640.0,6583.0
30,9780006514855,0006514855,girl night,,Jessica Adams;Chris Manby;Fiona Walker,american fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,girl night feature story growing growing moving moving falling apart getting together turn cell phone curl couch one girl night wont want miss,2000.0,3.26,586.0,140.0
31,9780006545866,0006545866,white album,,Joan Didion,american essay,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,collection essay recount took place long morning everyone coming particular bad trip didion observes drama explode america go collective detox mother abandoning fiveyearold daughter central reservation interstate huey newton black panther preaching cell student unconscious parody simulating disaffection,1993.0,4.17,224.0,91.0
32,9780006550433,0006550436,bonesetter daughter,,Amy Tan,china,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,tell story three generation chinese woman beginning turn century,2001.0,3.98,352.0,414.0
33,9780006551393,0006551394,lexus olive tree,,Thomas L. Friedman,capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,half new postcold war world intent building better lexus streamlining society economy global marketplace half locked elemental struggle owns olive tree strip land,2000.0,3.59,352.0,87.0
34,9780006551812,0006551815,ti,A Memoir,Frank McCourt,ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,pulizer prizewinning author new york time bestseller angelas ash frank mccourts glorious childhood memoir angelas ash loved celebrated reader everywhere national book critic circle award los angeles time book award pulitzer prize rarely book swiftly found place literary landscape ti story frank american journey impoverished immigrant brilliant teacher raconteur frank land new york age nineteen get job biltmore hotel immediately encounter vivid hierarchy classless country drafted army sent germany train dog type report frank incomparable voice render experience spellbinding frank return america work dock always resisting everyone tell know getting education though left school fourteen talk way new york university fall love quintessential yankee try live dream start teach frank find place world,2000.0,3.68,495.0,44179.0
